Date,Hour,Minute,Price
2020-10-09,15,23,59990.0
2020-10-10,06,20,59990.0
2020-10-11,02,35,59990.0
2020-10-11,19,01,59990.0
2020-10-12,18,51,59990.0
2020-10-13,00,28,59990.0
2020-10-13,21,09,59990.0
2020-10-14,18,51,59990.0
2020-10-15,15,14,59990.0
2020-10-15,17,31,59990.0
2020-10-15,18,36,57990.0
2020-10-16,08,26,57990.0
2020-10-16,10,16,57990.0
2020-10-16,18,50,57990.0
2020-10-17,18,48,57990.0
2020-10-18,09,44,57990.0
2020-10-19,00,41,57990.0
2020-10-19,04,53,57990.0
2020-10-19,10,01,57990.0
2020-10-19,13,26,57990.0
2020-10-19,23,27,57990.0
2020-10-20,18,52,57990.0
2020-10-21,18,34,57990.0
2020-10-22,22,56,57990.0
2020-10-23,09,39,57990.0
2020-10-23,09,55,57990.0
2020-10-23,18,51,57990.0
2020-10-24,19,05,57990.0
2020-10-25,12,10,57990.0
2020-10-27,08,53,57990.0
2020-10-27,20,55,57990.0
2020-10-28,13,01,57990.0
2020-10-28,18,41,57990.0
2020-10-29,18,40,57990.0
2020-10-30,12,08,57990.0
2020-10-30,23,43,57990.0
2020-10-31,18,42,57990.0
2020-11-01,19,11,57990.0
2020-11-02,07,38,57990.0
2020-11-02,14,05,57990.0
2020-11-02,19,52,57990.0
2020-11-02,21,16,57990.0
2020-11-03,23,06,54990.0
2020-11-04,18,51,54990.0
2020-11-05,06,43,54990.0
2020-11-05,20,34,54990.0
2020-11-06,19,24,54990.0
2020-11-07,18,52,54990.0
2020-11-08,18,34,54990.0
2020-11-09,18,35,54990.0
2020-11-10,18,54,54990.0
2020-11-11,21,40,54990.0
2020-11-13,03,15,54990.0
2020-11-13,18,32,59990.0
2020-11-15,06,24,57990.0
2020-11-15,19,10,57990.0
2020-11-16,21,28,57990.0
2020-11-17,21,14,57990.0
2020-11-18,20,00,59990.0
2020-11-20,04,48,59990.0
2020-11-21,07,06,59990.0
2020-11-22,00,16,59990.0
2020-11-22,04,38,59990.0
2020-11-23,07,38,59990.0
2020-11-23,19,04,59990.0
2020-11-24,19,08,59990.0
2020-11-25,18,50,59990.0
2020-11-26,19,08,59990.0
2020-11-28,03,18,59990.0
2020-11-28,19,18,59990.0
2020-11-29,22,59,59990.0
2020-12-01,07,48,59990.0
2020-12-01,18,58,59990.0
2020-12-02,21,21,59990.0
2020-12-03,18,45,59990.0
2020-12-04,11,56,59990.0
2020-12-04,19,30,59990.0
2020-12-05,10,42,59990.0
2020-12-05,22,08,59990.0
2020-12-06,20,20,59990.0
2020-12-07,18,34,59990.0
2020-12-08,13,39,59990.0
2020-12-08,18,54,57990.0
2020-12-09,18,44,59990.0
2020-12-11,03,33,59990.0
2020-12-11,19,20,59990.0
2020-12-12,23,31,59990.0
2020-12-13,02,14,59990.0
2020-12-13,18,37,54990.0
2020-12-14,19,29,54990.0
2020-12-14,19,53,54990.0
2020-12-15,21,44,54990.0
2020-12-16,02,53,54990.0
2020-12-16,22,23,54990.0
2020-12-17,19,09,54990.0
2020-12-19,03,03,59990.0
2020-12-19,21,07,59990.0
2020-12-20,14,22,59990.0
2020-12-20,18,44,59990.0
2020-12-21,17,38,59990.0
2020-12-22,00,04,59990.0
2020-12-23,06,55,59990.0
2020-12-24,11,21,59990.0
2020-12-25,08,52,59990.0
2020-12-26,08,47,59990.0
2020-12-27,00,21,59990.0
2020-12-28,11,58,59990.0
2020-12-29,00,40,59990.0
2020-12-30,06,29,59990.0
2020-12-31,00,58,59990.0
2021-01-01,08,27,57990.0
2021-01-02,00,27,57990.0
2021-01-03,00,48,57990.0
2021-01-04,08,02,57990.0
2021-01-05,19,19,57990.0
2021-01-06,03,35,57990.0
2021-01-07,08,57,57990.0
2021-01-08,06,27,59990.0
2021-01-09,00,03,59990.0
2021-01-10,00,32,59990.0
2021-01-11,00,39,59990.0
2021-01-12,00,26,59990.0
2021-01-13,06,43,59990.0
2021-01-14,07,49,59990.0
2021-01-15,06,50,59990.0
2021-01-16,00,54,59990.0
2021-01-17,00,21,59990.0
2021-01-18,06,26,59990.0
2021-01-19,00,13,56990.0
2021-01-20,08,19,56990.0
2021-01-20,19,13,56990.0
2021-01-21,18,38,56990.0
2021-01-22,18,37,56990.0
2021-01-24,03,08,59990.0
2021-01-24,19,52,59990.0
2021-01-25,18,43,59990.0
2021-01-26,19,18,59990.0
2021-01-27,21,36,59990.0
2021-01-29,05,54,59990.0
2021-01-30,09,02,59990.0
2021-01-30,21,46,59990.0
2021-01-31,18,53,59990.0
2021-02-02,05,46,59990.0
2021-02-02,22,06,59990.0
2021-02-04,04,33,57990.0
2021-02-04,21,16,57990.0
2021-02-06,00,17,57990.0
2021-02-06,18,30,59990.0
2021-02-07,00,42,57990.0
2021-02-07,19,26,57990.0
2021-02-09,03,32,59917.0
2021-02-10,09,13,57990.0
2021-02-10,18,57,57990.0
2021-02-12,02,53,59990.0
2021-02-13,07,22,59990.0
2021-02-13,18,43,57990.0
2021-02-15,04,22,59990.0
2021-02-16,05,23,57990.0
2021-02-16,18,52,59990.0
2021-02-17,19,12,59990.0
2021-02-18,19,17,59990.0
2021-02-20,06,43,59990.0
2021-02-21,00,24,57990.0
2021-02-21,19,47,57990.0
2021-02-22,23,28,57990.0
2021-02-23,18,31,57990.0
2021-02-23,18,43,57990.0
2021-02-25,04,57,57990.0
2021-02-25,23,47,57990.0
2021-02-26,21,13,57990.0
2021-02-27,22,15,57990.0
2021-03-05,14,51,59990.0
2021-03-06,02,18,59990.0
2021-03-07,04,24,59990.0
2021-03-08,05,03,59990.0
2021-03-08,19,14,59990.0
2021-03-09,19,18,59990.0
2021-03-10,04,13,59990.0
2021-03-12,07,22,59990.0
2021-03-13,07,13,57990.0
2021-03-13,18,54,57990.0
2021-03-14,20,17,59990.0
2021-03-15,20,28,59990.0
2021-03-16,19,04,59990.0
2021-03-17,18,38,57990.0
2021-03-18,19,58,57990.0
2021-03-20,10,31,57990.0
2021-03-20,19,32,59990.0
2021-03-21,18,58,59990.0
2021-03-23,00,24,59990.0
2021-03-24,07,38,59990.0
2021-03-24,18,54,59990.0
2021-03-25,18,39,57990.0
2021-03-26,20,48,57990.0
2021-03-27,21,58,57990.0
2021-03-28,04,08,59990.0
2021-03-28,18,48,59990.0
2021-03-29,23,02,59990.0
2021-03-30,02,14,59990.0
2021-03-30,19,29,57990.0
2021-03-31,19,38,59990.0
2021-04-02,10,13,59990.0
2021-04-02,18,49,59990.0
2021-04-03,19,08,59990.0
2021-04-04,19,34,57990.0
2021-04-05,19,08,57990.0
2021-04-06,19,34,59990.0
2021-04-07,18,22,59990.0
2021-04-07,19,03,59990.0
2021-04-08,21,29,57990.0
2021-04-09,08,45,57990.0
2021-04-09,19,29,59990.0
2021-04-10,20,25,57990.0
2021-04-12,05,09,59990.0
2021-04-16,11,58,57990.0
2021-04-16,19,13,57990.0
2021-04-17,11,53,57990.0
2021-04-17,18,59,59990.0
2021-04-18,23,09,59990.0
2021-04-19,19,05,57990.0
2021-04-20,05,22,57990.0
2021-04-20,20,00,57990.0
2021-04-22,05,55,59990.0
2021-04-23,05,45,59990.0
2021-04-23,20,39,59990.0
2021-04-24,10,33,59990.0
2021-04-24,18,45,57990.0
2021-04-25,19,55,59990.0
2021-04-26,19,39,59990.0
2021-04-27,19,09,57990.0
2021-04-28,18,45,57990.0
