Date,Hour,Minute,Price
2023-09-15,19,10,67711.86
2023-09-16,06,42,79900.0
2023-09-17,08,33,109900.0
2023-09-19,19,15,89900.0
2023-09-20,04,03,79900.0
2023-09-21,20,05,109900.0
2023-09-30,17,52,79900.0
2023-09-30,18,02,79900.0
2023-10-01,11,20,79900.0
2023-10-02,13,07,79900.0
2023-10-03,11,02,79900.0
2023-10-04,09,49,79900.0
2023-10-05,09,55,79900.0
2023-10-06,06,06,79900.0
2023-10-07,00,55,67711.86
2023-10-07,09,50,79900.0
2023-10-08,09,48,79900.0
2023-10-09,07,22,79900.0
2023-10-10,09,32,79900.0
2023-11-08,18,06,77900.0
2023-11-16,07,24,79900.0
2023-11-24,15,27,77900.0
2023-11-27,09,02,79900.0
2023-12-01,12,31,75900.0
2023-12-01,22,56,77490.0
2023-12-02,13,16,75900.0
2023-12-02,23,44,77490.0
2023-12-03,11,27,75900.0
2023-12-04,04,51,77490.0
2023-12-04,11,27,79900.0
2023-12-08,20,43,76990.0
2023-12-17,10,07,77900.0
2023-12-23,15,01,74900.0
2024-01-02,19,27,73999.0
2024-01-05,15,35,72999.0
2024-01-07,12,13,72990.0
2024-01-08,07,15,72990.0
2024-01-09,06,15,72990.0
2024-01-10,05,35,72990.0
2024-01-11,05,55,72990.0
2024-01-12,06,15,72990.0
2024-01-13,07,30,72990.0
2024-01-14,09,51,72990.0
2024-01-15,11,03,74900.0
2024-01-20,02,33,72990.0
2024-01-20,14,34,70990.0
2024-01-22,21,29,72990.0
2024-01-24,09,57,74900.0
2024-02-02,14,37,70990.0
2024-02-02,16,43,71990.0
2024-02-04,16,56,80490.0
2024-02-06,11,47,71990.0
2024-02-08,00,30,72999.0
2024-02-08,13,03,71990.0
2024-02-16,12,01,71490.0
2024-02-26,17,17,70999.0
2024-02-28,13,27,69999.0
2024-02-29,09,37,70900.0
2024-02-29,19,00,69999.0
2024-03-01,10,22,72999.0
2024-03-09,11,33,72200.0
2024-03-11,16,42,71499.0
2024-03-18,15,17,71290.0
2024-03-23,05,28,65999.0
2024-03-23,09,13,71290.0
2024-03-26,22,45,72200.0
2024-04-01,10,15,72700.0
2024-04-01,13,24,71590.0
2024-04-02,19,28,72690.0
2024-04-10,09,27,73100.0
2024-04-17,12,14,71590.0
2024-04-22,13,19,73100.0
2024-04-28,00,45,70999.0
2024-05-02,00,07,70500.0
2024-05-08,11,13,72500.0
2024-05-11,00,00,71290.0
2024-05-24,10,47,70999.0
2024-05-28,11,07,72500.0
2024-05-29,18,23,71499.0
2024-06-04,18,55,72500.0
2024-06-08,00,20,73100.0
2024-06-08,05,40,73100.0
2024-06-09,06,50,73100.0
2024-06-10,06,10,73100.0
2024-06-11,05,35,73100.0
2024-06-12,05,30,73100.0
2024-06-13,05,35,73100.0
2024-06-14,06,05,73100.0
2024-06-17,19,38,71999.0
2024-06-18,00,42,71999.0
2024-06-18,05,50,71999.0
2024-06-19,05,30,71999.0
2024-06-20,06,00,71999.0
2024-06-21,05,45,71999.0
2024-06-22,06,00,71999.0
2024-06-23,05,45,71999.0
2024-06-24,05,35,71999.0
2024-06-25,05,35,71999.0
2024-06-26,06,06,71999.0
2024-06-27,06,02,71999.0
2024-06-28,05,32,71999.0
2024-07-01,15,51,71900.0
2024-07-08,12,10,70999.0
2024-07-17,15,10,70790.0
2024-07-19,19,04,70900.0
2024-08-12,21,48,71290.0
2024-08-21,19,57,70499.0
2024-09-02,13,02,69999.0
2024-09-10,18,31,69900.0
2024-09-20,17,02,65900.0
2024-09-25,12,42,69900.0
2024-10-22,14,08,66900.0
2024-11-01,06,14,67900.0
2024-11-08,07,13,65900.0
2024-11-27,13,11,61900.0
2024-11-28,10,17,62900.0
2024-11-29,20,19,64900.0
2024-12-19,17,42,66100.0
2025-01-01,20,45,74900.0
2025-01-01,20,57,64900.0
2025-01-01,23,21,74900.0
2025-01-02,12,46,60999.0
2025-01-08,09,52,60499.0
2025-01-13,00,05,56999.0
2025-01-13,12,23,57499.0
2025-01-15,10,34,57999.0
2025-01-15,20,10,58499.0
2025-01-18,13,19,58999.0
2025-01-18,19,34,87999.0
2025-01-18,20,34,58999.0
2025-01-23,00,36,68999.0
2025-01-23,17,02,69999.0
