Date,Hour,Minute,Price
2024-04-05,12,09,54990.0
2024-04-20,15,33,54249.0
2024-04-28,21,56,53990.0
2024-04-30,00,40,54490.0
2024-05-01,01,03,49990.0
2024-05-01,21,10,49490.0
2024-05-02,16,19,49990.0
2024-05-03,20,29,49790.0
2024-05-04,00,48,49690.0
2024-05-04,12,25,49990.0
2024-05-05,16,42,49690.0
2024-05-05,19,10,49990.0
2024-05-07,19,36,49690.0
2024-05-07,22,23,48990.0
2024-05-09,00,01,49490.0
2024-05-09,17,57,49990.0
2024-05-09,23,54,48990.0
2024-05-10,16,52,49990.0
2024-05-11,03,52,49490.0
2024-05-11,11,21,48990.0
2024-05-13,10,19,49990.0
2024-05-13,20,41,49790.0
2024-05-14,09,12,49990.0
2024-05-14,20,27,49490.0
2024-05-15,07,11,53990.0
2024-05-17,22,37,54900.0
2024-05-18,13,20,54990.0
2024-05-18,14,16,54790.0
2024-05-20,16,05,54700.0
2024-05-20,20,05,54790.0
2024-05-21,06,32,54490.0
2024-05-21,09,03,54700.0
2024-05-21,18,03,54790.0
2024-05-21,21,03,54700.0
2024-05-22,00,22,54790.0
2024-05-22,08,23,54490.0
2024-05-22,10,28,54790.0
2024-05-22,22,34,54490.0
2024-05-23,03,11,54790.0
2024-05-25,01,31,54490.0
2024-05-25,02,28,54790.0
2024-05-25,09,22,54490.0
2024-05-25,11,48,54790.0
2024-05-25,16,49,54490.0
2024-05-25,18,29,54790.0
2024-05-25,23,29,54490.0
2024-05-26,00,55,54790.0
2024-05-26,08,54,54490.0
2024-05-26,15,53,54790.0
2024-05-29,12,17,49990.0
2024-06-04,22,51,49790.0
2024-06-05,11,51,49990.0
2024-06-05,21,50,49790.0
2024-06-06,13,00,49990.0
2024-06-06,22,24,49790.0
2024-06-08,00,35,49490.0
2024-06-09,00,11,49990.0
2024-06-09,04,21,49490.0
2024-06-09,15,00,49990.0
2024-06-09,17,30,49490.0
2024-06-09,20,02,49990.0
2024-06-09,22,28,49490.0
2024-06-10,09,30,49990.0
2024-06-11,03,48,49790.0
2024-06-11,11,32,49990.0
2024-06-11,17,01,49790.0
2024-06-12,03,34,49490.0
2024-06-13,00,43,49990.0
2024-06-13,15,38,53990.0
2024-06-13,22,50,53790.0
2024-06-14,15,36,53490.0
