Date,Hour,Minute,Price
2023-01-24,02,37,124999.0
2023-01-25,02,37,124999.0
2023-01-26,02,37,124999.0
2023-01-27,02,37,124999.0
2023-01-28,02,37,124999.0
2023-01-29,02,37,124999.0
2023-01-30,02,37,124999.0
2023-01-31,02,37,124999.0
2023-02-01,02,37,124999.0
2023-02-02,02,37,124999.0
2023-02-11,21,45,124999.0
2023-02-12,23,04,124999.0
2023-02-14,00,26,124999.0
2023-02-15,01,15,124999.0
2023-02-16,00,39,124999.0
2023-02-17,02,16,124999.0
2023-02-18,14,10,124999.0
2023-02-19,16,50,124999.0
2023-02-20,03,44,124999.0
2023-02-21,18,59,124999.0
2023-02-22,20,28,124999.0
2023-02-23,02,11,124999.0
2023-02-24,00,09,124999.0
2023-02-25,16,38,124999.0
2023-02-26,00,21,124999.0
2023-02-27,00,13,124999.0
2023-02-28,01,59,124999.0
2023-03-01,00,31,124999.0
2023-03-02,00,33,124999.0
2023-03-03,00,41,124999.0
2023-03-04,02,27,124999.0
2023-03-05,19,02,124999.0
2023-03-06,01,41,124999.0
2023-03-08,06,18,124999.0
2023-03-09,09,32,124999.0
2023-03-10,00,13,124999.0
2023-03-11,09,55,124999.0
2023-03-12,18,42,124999.0
2023-04-27,14,38,124999.0
2023-04-28,00,42,124999.0
2023-04-29,02,58,124999.0
2023-04-30,05,58,124999.0
2023-05-01,00,56,124999.0
2023-05-03,06,54,124999.0
2023-05-04,12,38,124999.0
2023-05-06,00,38,124999.0
2023-05-07,01,53,124999.0
2023-05-08,03,55,124999.0
2023-05-09,07,19,124999.0
2023-05-10,09,58,124999.0
2023-05-11,12,38,124999.0
2023-05-12,12,38,124999.0
2023-05-14,00,38,124999.0
2023-05-15,00,38,124999.0
2023-05-16,00,39,124999.0
2023-05-17,12,38,124999.0
2023-05-19,00,38,124999.0
2023-05-20,12,38,124999.0
2023-05-22,00,38,124999.0
2023-05-23,00,38,124999.0
2023-05-24,00,39,124999.0
2023-05-25,00,39,124999.0
2023-05-26,00,39,124999.0
2023-05-27,12,39,124999.0
2023-05-28,12,39,124999.0
2023-05-29,12,40,124999.0
2023-05-31,00,40,124999.0
2023-06-01,00,40,124999.0
2023-06-02,12,39,124999.0
2023-06-04,00,39,124999.0
2023-06-05,00,39,124999.0
2023-06-06,00,40,124999.0
2023-06-07,00,07,124999.0
2023-06-08,00,31,124999.0
2023-06-09,00,15,124999.0
2023-06-10,01,09,124999.0
2023-06-11,00,21,124999.0
2023-06-12,00,40,124999.0
2023-06-12,01,41,124999.0
2023-06-13,01,15,124999.0
2023-06-14,01,55,124999.0
2023-06-15,00,15,124999.0
2023-06-16,00,37,124999.0
2023-06-17,00,46,124999.0
2023-06-18,01,15,124999.0
2023-06-19,00,09,124999.0
2023-06-20,00,41,124999.0
2023-06-20,01,23,124999.0
2023-06-22,06,49,124999.0
2023-06-23,09,50,124999.0
2023-06-24,03,58,124999.0
2023-06-25,16,01,124999.0
2023-06-26,17,13,124999.0
2023-06-27,21,52,124999.0
2023-06-28,05,40,124999.0
2023-06-29,00,10,124999.0
2023-06-30,02,18,124999.0
2023-07-01,00,12,124999.0
2023-07-02,01,38,124999.0
2023-07-03,01,54,124999.0
2023-07-04,10,01,124999.0
2023-07-05,03,01,124999.0
2023-07-06,01,20,124999.0
2023-07-07,02,20,124999.0
2023-07-08,01,03,124999.0
2023-07-09,03,36,124999.0
2023-07-10,01,33,124999.0
2023-07-11,00,30,124999.0
2023-07-12,00,24,124999.0
2023-07-13,01,16,124999.0
2023-07-15,10,27,124999.0
2023-07-16,04,56,124999.0
2023-07-17,02,42,124999.0
2023-07-18,12,57,124999.0
2023-07-19,14,16,124999.0
2023-07-20,17,21,124999.0
2023-07-21,18,35,124999.0
2023-07-22,21,52,124999.0
2023-07-24,00,42,124999.0
2023-07-25,02,19,124999.0
2023-07-26,03,26,124999.0
2023-07-27,04,34,124999.0
2023-07-28,06,02,124999.0
2023-07-29,06,53,124999.0
2023-07-30,10,00,124999.0
2023-07-31,10,31,124999.0
2023-08-01,11,23,124999.0
2023-08-02,11,28,124999.0
2023-08-03,11,38,124999.0
2023-08-04,11,45,124999.0
2023-08-05,12,42,124999.0
2023-08-06,12,42,124999.0
2023-08-07,14,20,124999.0
2023-08-08,14,25,124999.0
2023-08-09,22,22,124999.0
2023-08-10,22,45,124999.0
2023-08-11,23,14,124999.0
2023-08-12,23,25,124999.0
2023-08-13,23,32,124999.0
2023-08-15,00,43,124999.0
2023-08-16,00,43,124999.0
2023-08-16,18,15,124999.0
2023-08-17,07,50,124999.0
2023-08-19,00,44,124999.0
2023-08-20,00,44,124999.0
2023-08-21,00,44,124999.0
2023-08-22,02,31,124999.0
2023-08-23,05,52,124999.0
2023-08-24,06,37,124999.0
2023-08-25,10,26,124999.0
2023-08-26,10,53,124999.0
2023-08-26,18,05,124999.0
2023-08-27,07,45,124999.0
2023-08-28,12,44,124999.0
2023-08-29,12,45,124999.0
2023-08-30,12,45,124999.0
2023-08-30,13,40,124999.0
2023-08-31,11,00,124999.0
2023-09-01,10,10,124999.0
2023-09-02,10,21,124999.0
2023-09-03,10,33,124999.0
2023-09-04,10,06,124999.0
2023-09-05,07,10,124999.0
2023-09-06,09,48,124999.0
2023-09-07,08,56,124999.0
2023-09-08,10,08,124999.0
2023-09-09,09,50,124999.0
2023-09-10,09,48,124999.0
2023-09-11,09,49,124999.0
2023-09-12,09,49,124999.0
2023-09-13,09,50,124999.0
2023-09-14,09,49,124999.0
2023-09-16,00,12,119999.0
2023-09-16,00,40,124999.0
2023-09-16,01,05,119999.0
2023-09-17,00,40,124999.0
2023-09-17,01,10,119999.0
2023-09-17,12,39,124999.0
2023-09-17,13,18,119999.0
2023-09-18,00,10,124999.0
2023-09-19,22,54,119999.0
2023-09-20,00,39,124999.0
2023-09-20,11,54,119999.0
2023-09-21,09,49,105931.36
2023-09-21,15,29,119999.0
2023-09-21,19,51,124999.0
2023-09-22,09,49,124999.0
2023-09-23,09,52,124999.0
2023-09-24,09,46,124999.0
2023-09-25,09,49,124999.0
2023-09-26,09,50,124999.0
2023-09-27,09,49,124999.0
2023-09-28,09,46,124999.0
2023-09-29,09,49,124999.0
