Date,Hour,Minute,Price
2024-06-12,20,20,49990.0
2024-06-13,09,15,49990.0
2024-06-14,17,20,49990.0
2024-06-16,14,30,49990.0
2024-06-18,07,40,49990.0
2024-06-19,13,11,49500.0
2024-06-20,08,50,49500.0
2024-06-21,09,31,49990.0
2024-06-22,12,47,49500.0
2024-06-23,06,55,49990.0
2024-06-24,10,23,49990.0
2024-06-25,10,10,49990.0
2024-06-26,12,46,49990.0
2024-06-27,09,30,49000.0
2024-06-28,09,01,49990.0
2024-06-29,09,40,49990.0
2024-06-30,12,25,49990.0
2024-07-01,07,05,42194.92
2024-07-02,08,55,49990.0
2024-07-03,10,30,42194.92
2024-07-04,11,06,49990.0
2024-07-05,11,30,49990.0
2024-07-06,06,25,49990.0
2024-07-07,12,06,49990.0
2024-07-08,08,30,49990.0
2024-07-09,11,05,49990.0
2024-07-10,06,45,49990.0
2024-07-11,12,41,49990.0
2024-07-12,09,25,49990.0
2024-07-13,08,45,49990.0
2024-07-14,09,10,49990.0
2024-07-15,08,10,49990.0
2024-07-16,09,40,49990.0
2024-07-17,12,05,49990.0
2024-07-18,09,30,49990.0
2024-07-19,07,25,49490.0
2024-07-20,06,20,49490.0
2024-07-21,09,41,49990.0
2024-07-22,08,45,49480.0
2024-07-23,09,30,49480.0
2024-07-24,05,30,49480.0
2024-07-25,10,21,49390.0
2024-07-26,09,40,49990.0
2024-07-27,10,46,49990.0
2024-07-28,15,19,49990.0
2024-07-29,08,48,42194.92
2024-07-29,15,10,49990.0
2024-08-14,22,03,48999.0
2024-09-02,01,27,48600.0
2024-09-11,22,24,47699.0
2024-09-19,08,11,47600.0
2024-09-25,05,00,47450.0
2024-10-02,00,17,46900.0
2024-10-02,22,59,46850.0
2024-11-15,14,57,48590.0
2024-11-19,08,41,48200.0
2024-11-24,16,31,48000.0
2025-01-03,23,33,48500.0
