Date,Hour,Minute,Price
2021-02-19,12,57,15510.0
2021-02-20,12,57,15510.0
2021-02-22,12,57,15510.0
2021-02-24,12,57,15510.0
2021-02-28,12,57,15510.0
2021-03-02,12,57,15510.0
2021-03-03,12,57,15510.0
2021-03-05,12,57,15510.0
2021-03-06,12,57,15510.0
2021-03-07,12,57,15510.0
2021-03-08,12,57,15510.0
2021-03-09,12,57,15510.0
2021-03-10,12,57,15510.0
2021-03-15,12,57,15510.0
2021-03-16,12,57,15510.0
2021-03-23,08,03,14990.0
2021-03-24,02,28,14990.0
2021-03-27,12,27,14990.0
2021-03-28,11,01,14990.0
2021-03-28,11,58,14990.0
2021-03-29,10,30,14990.0
2021-03-30,17,33,14990.0
2021-03-30,19,46,14990.0
2021-04-01,13,29,14990.0
2021-04-03,06,44,14740.0
2021-04-04,08,34,14740.0
2021-04-05,13,38,14740.0
2021-04-09,10,39,14740.0
2021-04-10,04,05,14740.0
2021-04-11,10,13,14990.0
2021-04-12,05,41,14990.0
2021-04-13,06,33,14990.0
2021-04-14,07,09,14990.0
2021-04-15,08,19,14990.0
2021-04-16,04,49,15740.0
2021-04-17,02,25,15240.0
2021-04-18,06,55,15240.0
2021-04-19,06,39,15240.0
2021-04-19,21,29,15240.0
2021-04-21,10,26,14990.0
2021-04-22,10,59,15740.0
2021-04-23,05,09,15740.0
2021-04-24,08,00,15740.0
2021-04-25,08,49,15740.0
2021-04-25,20,05,15740.0
2021-04-27,06,25,15740.0
2021-04-28,02,39,14990.0
2021-04-29,07,52,14990.0
2021-04-30,11,59,14990.0
2021-05-01,00,16,14740.0
2021-05-02,00,59,14740.0
2021-05-03,04,16,14740.0
2021-05-03,19,29,14740.0
2021-05-05,07,00,14740.0
2021-05-06,02,44,14740.0
2021-05-06,20,00,14740.0
2021-05-07,19,54,14740.0
2021-05-08,09,40,14740.0
2021-05-09,10,46,14740.0
2021-05-11,05,26,14740.0
2021-05-12,00,01,14740.0
2021-05-23,19,51,15240.0
2021-05-28,07,17,15240.0
2021-05-30,03,47,15740.0
2021-05-31,08,07,15740.0
2021-06-01,11,23,15240.0
2021-06-02,06,31,15240.0
2021-06-03,10,47,15240.0
2021-06-04,08,36,15240.0
2021-06-05,08,07,15240.0
2021-06-06,09,30,15240.0
2021-06-07,06,40,15240.0
2021-06-08,23,34,15240.0
2021-06-09,09,15,15240.0
2021-06-10,06,12,15740.0
2021-06-11,06,07,15740.0
2021-06-12,17,23,15740.0
2021-06-13,16,11,15740.0
2021-06-14,13,42,15740.0
2021-06-15,08,50,15240.0
2021-06-16,09,04,15240.0
2021-06-17,07,27,15240.0
2021-06-18,06,56,15240.0
2021-06-19,07,59,15240.0
2021-06-20,09,56,15240.0
2021-06-21,11,28,15240.0
2021-06-22,06,11,15240.0
2021-06-23,14,28,15740.0
2021-06-24,12,00,15740.0
2021-06-25,00,25,15740.0
2021-06-25,12,18,15740.0
2021-06-26,10,02,15740.0
2021-06-27,11,19,15240.0
2021-06-28,10,07,15240.0
2021-06-29,09,54,15240.0
2021-06-30,20,44,15240.0
2021-07-01,04,18,15240.0
2021-07-02,02,46,15240.0
2021-07-03,04,43,15240.0
2021-07-04,06,13,15240.0
2021-07-05,03,47,15240.0
2021-07-06,09,17,15240.0
2021-07-07,06,38,15490.0
2021-07-08,05,13,15490.0
2021-07-08,19,17,15490.0
2021-07-10,08,22,15490.0
2021-07-11,11,39,15490.0
2021-07-12,08,59,15490.0
2021-07-13,06,19,15490.0
2021-07-14,04,13,15490.0
2021-07-15,09,39,15490.0
2021-07-15,20,03,15490.0
2021-07-16,19,07,15490.0
2021-07-18,06,23,15490.0
2021-07-19,07,13,15490.0
2021-07-20,13,53,15490.0
2021-07-21,15,53,15490.0
2021-07-22,10,33,15490.0
2021-07-23,07,07,15490.0
2021-07-24,09,45,15490.0
2021-07-24,10,33,15490.0
2021-07-25,10,27,15490.0
2021-07-26,07,20,15240.0
2021-07-26,19,33,15240.0
2021-07-28,17,23,15240.0
2021-07-28,18,49,15240.0
2021-07-29,16,22,15240.0
2021-07-29,19,04,15240.0
2021-07-30,21,06,15240.0
2021-08-01,19,04,15990.0
2021-08-03,08,58,15990.0
2021-08-03,18,44,15240.0
2021-08-04,18,46,15240.0
2021-08-05,12,38,15240.0
2021-08-05,18,44,15240.0
2021-08-06,19,20,15240.0
2021-08-08,01,14,15240.0
2021-08-09,07,20,15240.0
2021-08-09,18,50,15240.0
2021-08-11,14,43,15240.0
2021-08-12,15,32,15240.0
2021-08-13,16,58,15240.0
2021-08-16,00,15,15250.0
2021-08-18,07,58,15240.0
2021-08-19,07,08,15240.0
2021-08-22,12,19,15240.0
2021-08-23,16,29,15240.0
2021-08-25,13,14,15240.0
2021-08-26,08,58,15240.0
2021-08-27,05,55,15240.0
2021-08-28,16,00,15240.0
2021-08-29,12,52,15240.0
2021-08-30,06,15,15240.0
2021-08-31,10,24,15240.0
2021-09-01,06,01,15240.0
2021-09-03,05,15,15240.0
2021-09-04,11,58,15240.0
2021-09-05,11,21,15240.0
2021-09-06,17,11,15240.0
2021-09-07,13,04,15240.0
2021-09-08,03,29,15240.0
2021-09-10,15,23,15240.0
2021-09-12,13,45,15240.0
2021-09-13,12,35,15240.0
2021-09-14,17,15,15240.0
2021-09-15,14,25,15240.0
2021-09-18,11,45,15490.0
2021-09-19,08,20,15490.0
2021-09-21,07,32,15500.0
2021-09-22,05,45,15500.0
2021-09-23,19,45,15490.0
2021-09-24,19,36,15490.0
2021-09-26,18,19,15490.0
2021-09-27,06,22,15490.0
2021-09-28,00,19,15490.0
2021-09-28,08,36,15490.0
2021-09-29,09,42,15490.0
2021-09-29,10,20,15490.0
2021-09-30,04,02,15490.0
2021-10-01,02,12,15490.0
2021-10-02,00,56,14990.0
2021-10-04,11,14,14690.0
2021-10-04,22,26,14990.0
2021-10-05,11,22,14990.0
2021-10-06,13,46,14990.0
2021-10-07,06,32,14990.0
2021-10-08,02,36,14990.0
2021-10-09,02,26,14990.0
2021-10-10,12,16,14990.0
2021-10-11,12,23,14990.0
2021-10-12,06,43,14990.0
2021-10-13,12,56,15490.0
2021-10-14,01,42,15490.0
2021-10-14,05,12,15490.0
2021-10-15,02,26,15490.0
2021-10-16,00,54,15490.0
2021-10-16,12,36,14990.0
2021-10-17,11,27,14990.0
2021-10-18,12,48,15240.0
2021-10-19,23,55,15240.0
2021-10-20,00,57,15240.0
2021-10-21,04,23,15240.0
2021-10-22,08,03,15240.0
2021-10-25,00,03,15240.0
2021-10-25,08,47,15240.0
2021-10-27,19,03,14990.0
2021-10-28,13,37,15490.0
2021-10-29,00,09,14640.0
2021-10-29,03,17,14640.0
2021-10-30,05,57,14640.0
2021-11-01,17,23,14640.0
2021-11-03,06,33,14990.0
2021-11-05,05,18,14990.0
2021-11-07,08,43,14990.0
2021-11-09,08,21,14990.0
2021-11-11,09,44,14990.0
2021-11-12,11,46,15490.0
2021-11-13,08,34,15490.0
2021-11-17,13,02,15490.0
2021-11-19,18,59,15490.0
2021-11-20,07,38,14990.0
2021-11-20,20,32,14990.0
2021-11-21,17,25,14990.0
2021-11-22,15,40,14990.0
2021-11-23,06,30,14990.0
2021-11-24,06,15,14990.0
2021-11-25,07,05,14990.0
2021-11-26,00,13,14990.0
2021-11-28,07,15,14990.0
2021-11-29,19,00,14990.0
2021-11-30,06,00,14990.0
2021-12-01,12,20,14990.0
2021-12-02,00,20,14990.0
2021-12-03,17,55,15490.0
2021-12-04,22,35,15490.0
2021-12-05,21,46,15490.0
2021-12-07,12,55,14990.0
2021-12-08,11,05,15490.0
2021-12-09,10,20,14990.0
2021-12-11,19,55,14890.0
2021-12-12,09,45,14890.0
2021-12-14,08,35,14890.0
2021-12-15,22,30,14990.0
2021-12-17,14,05,14990.0
